SKU,recent_avg_sales,previous_avg_sales,sales_trend,target
AN208-MUSTARD-XL,0.0333333333333333,0.0,0.0333333333333333,1
AN209-BIEGE-XL,0.0666666666666666,0.0333333333333333,0.032258064516129,1
AN213-BROWN-S,0.1666666666666666,0.0333333333333333,0.1290322580645161,2
BL006-54BLACK,0.0666666666666666,0.1,-0.0303030303030303,1
BL021-71BLACK,0.2333333333333333,0.7,-0.2745098039215686,0
BL035-161GOLD,0.1,0.3666666666666666,-0.1951219512195121,0
BL036-176GOLD,0.1,0.1,0.0,1
BL057-65BLACK-A,0.1,0.1333333333333333,-0.0294117647058823,1
BL079-87RED,0.0333333333333333,0.0,0.0333333333333333,1
BL087-XXL,0.0333333333333333,0.0,0.0333333333333333,1
BL103-XXL,0.1,0.2,-0.0833333333333333,1
BL104-L,0.0333333333333333,0.1333333333333333,-0.088235294117647,1
BL109-M,0.1333333333333333,0.0666666666666666,0.0625,1
BL109-XXL,0.0666666666666666,0.0,0.0666666666666666,1
BL110-L,0.0666666666666666,0.1333333333333333,-0.0588235294117647,1
BL110-S,0.0333333333333333,0.0666666666666666,-0.03125,1
BL111-L,0.0333333333333333,0.0333333333333333,0.0,1
BL111-M,0.0666666666666666,0.0,0.0666666666666666,1
BL113-L,0.0333333333333333,0.0666666666666666,-0.03125,1
BL113-XL,0.1,0.0666666666666666,0.03125,1
BL113-XS,0.0333333333333333,0.1,-0.0606060606060606,1
BTM029-NP-L,0.0333333333333333,0.0,0.0333333333333333,1
BTM029-NP-M,0.0333333333333333,0.0,0.0333333333333333,1
BTM030-NP-XXXL,0.1,0.0333333333333333,0.064516129032258,1
BTM031-NP-XL,0.0666666666666666,0.0333333333333333,0.032258064516129,1
BTM032-NP-S,0.1333333333333333,0.0,0.1333333333333333,2
BTM033-NP-XXXL,0.0666666666666666,0.0,0.0666666666666666,1
BTM036-PP-XXL,0.0666666666666666,0.0666666666666666,0.0,1
BTM037-PP-XL,0.0666666666666666,0.0,0.0666666666666666,1
BTM038-PP-XXXL,0.0666666666666666,0.1,-0.0303030303030303,1
BTM039-PP-M,0.0333333333333333,0.1333333333333333,-0.088235294117647,1
BTM040-PP-XXL,0.0333333333333333,0.0666666666666666,-0.03125,1
BTM041-PP-XXXL,0.0666666666666666,0.0333333333333333,0.032258064516129,1
BTM047-PP-L,0.0333333333333333,0.0,0.0333333333333333,1
BTM047-PP-XXL,0.0333333333333333,0.0666666666666666,-0.03125,1
BTM048-PP-M,0.0333333333333333,0.0,0.0333333333333333,1
CH202-ORANGE-L,0.0333333333333333,0.0,0.0333333333333333,1
CH205-YELLOW-S,0.0333333333333333,0.0,0.0333333333333333,1
CH213-BROWN-L,0.0333333333333333,0.0,0.0333333333333333,1
J0001-DR-S,0.1666666666666666,0.0333333333333333,0.1290322580645161,2
J0001-DR-XS,0.0666666666666666,0.0333333333333333,0.032258064516129,1
J0002-SKD-L,0.6333333333333333,0.4,0.1666666666666666,2
J0002-SKD-M,0.6,0.5333333333333333,0.0434782608695652,1
J0002-SKD-S,0.5,0.2,0.25,2
J0002-SKD-XL,1.0333333333333334,0.4666666666666667,0.3863636363636364,2
J0002-SKD-XS,0.4,0.2333333333333333,0.1351351351351351,2
J0002-SKD-XXL,0.5333333333333333,0.5333333333333333,0.0,1
J0002-SKD-XXXL,0.4666666666666667,0.6,-0.0833333333333333,1
J0003-SET-L,0.5,0.9,-0.2105263157894737,0
J0003-SET-M,0.8,1.8333333333333333,-0.3647058823529411,0
J0003-SET-S,2.1666666666666665,4.1,-0.3790849673202614,0
J0003-SET-XL,0.5,1.9,-0.4827586206896551,0
J0003-SET-XS,2.8666666666666667,2.1,0.2473118279569892,2
J0003-SET-XXL,0.6666666666666666,2.3,-0.494949494949495,0
J0003-SET-XXXL,1.0333333333333334,3.1333333333333333,-0.5080645161290323,0
J0004-SKD-L,0.5,0.3666666666666666,0.0975609756097561,1
J0004-SKD-M,0.3,0.3,0.0,1
J0004-SKD-S,0.2,0.2333333333333333,-0.027027027027027,1
J0004-SKD-XL,0.4666666666666667,0.2333333333333333,0.1891891891891891,2
J0004-SKD-XXL,0.3333333333333333,0.3,0.0256410256410256,1
J0004-SKD-XXXL,0.4333333333333333,0.5333333333333333,-0.0652173913043478,1
J0005-DR-L,0.2666666666666666,0.9333333333333332,-0.3448275862068966,0
J0005-DR-M,0.3333333333333333,0.0,0.3333333333333333,2
J0005-DR-S,0.6333333333333333,0.8333333333333334,-0.1090909090909091,0
J0005-DR-XL,0.6333333333333333,0.7,-0.0392156862745097,1
J0005-DR-XS,0.3333333333333333,0.3333333333333333,0.0,1
J0005-DR-XXL,0.5333333333333333,0.4666666666666667,0.0454545454545454,1
J0005-DR-XXXL,0.3666666666666666,0.8333333333333334,-0.2545454545454546,0
J0006-SET-L,0.7666666666666667,0.5,0.1777777777777778,2
J0006-SET-M,1.0333333333333334,1.1333333333333333,-0.0468749999999999,1
J0006-SET-S,0.7,0.6,0.0624999999999999,1
J0006-SET-XL,0.9,0.5666666666666667,0.2127659574468085,2
J0006-SET-XS,0.3333333333333333,0.1666666666666666,0.1428571428571428,2
J0006-SET-XXL,0.7,0.3666666666666666,0.2439024390243902,2
J0006-SET-XXXL,0.7,0.5333333333333333,0.108695652173913,2
J0007-SKD-L,0.0666666666666666,0.1333333333333333,-0.0588235294117647,1
J0007-SKD-M,0.1666666666666666,0.2,-0.0277777777777777,1
J0007-SKD-XL,0.3,0.2666666666666666,0.0263157894736842,1
J0007-SKD-XXL,0.2666666666666666,0.1,0.1515151515151515,2
