recent_avg_sales,previous_avg_sales,sales_trend,sales_ratio,sales_diff,momentum_score,decline_flag,target
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0666666666666666,0.0333333333333333,0.032258064516129,0.06451612903225801,0.0333333333333333,0.0021505376344085974,0,1
0.1666666666666666,0.0333333333333333,0.1290322580645161,0.16129032258064513,0.1333333333333333,0.02150537634408601,0,2
0.0666666666666666,0.1,-0.0303030303030303,0.06060606060606054,-0.03333333333333341,-0.002020202020202018,1,1
0.2333333333333333,0.7,-0.2745098039215686,0.1372549019607843,-0.4666666666666667,-0.06405228758169933,1,0
0.1,0.3666666666666666,-0.1951219512195121,0.07317073170731707,-0.2666666666666666,-0.01951219512195121,1,0
0.1,0.1,0.0,0.09090909090909091,0.0,0.0,0,1
0.1,0.1333333333333333,-0.0294117647058823,0.08823529411764706,-0.0333333333333333,-0.00294117647058823,1,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.1,0.2,-0.0833333333333333,0.08333333333333334,-0.1,-0.00833333333333333,1,1
0.0333333333333333,0.1333333333333333,-0.088235294117647,0.02941176470588232,-0.1,-0.00294117647058823,1,1
0.1333333333333333,0.0666666666666666,0.0625,0.12499999999999997,0.06666666666666671,0.008333333333333331,0,1
0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.004444444444444435,0,1
0.0666666666666666,0.1333333333333333,-0.0588235294117647,0.05882352941176464,-0.06666666666666671,-0.003921568627450976,1,1
0.0333333333333333,0.0666666666666666,-0.03125,0.03124999999999997,-0.0333333333333333,-0.0010416666666666656,1,1
0.0333333333333333,0.0333333333333333,0.0,0.032258064516129004,0.0,0.0,0,1
0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.004444444444444435,0,1
0.0333333333333333,0.0666666666666666,-0.03125,0.03124999999999997,-0.0333333333333333,-0.0010416666666666656,1,1
0.1,0.0666666666666666,0.03125,0.09375,0.03333333333333341,0.003125,0,1
0.0333333333333333,0.1,-0.0606060606060606,0.03030303030303027,-0.06666666666666671,-0.002020202020202018,1,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.1,0.0333333333333333,0.064516129032258,0.09677419354838711,0.06666666666666671,0.0064516129032257995,0,1
0.0666666666666666,0.0333333333333333,0.032258064516129,0.06451612903225801,0.0333333333333333,0.0021505376344085974,0,1
0.1333333333333333,0.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.01777777777777777,0,2
0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.004444444444444435,0,1
0.0666666666666666,0.0666666666666666,0.0,0.06249999999999994,0.0,0.0,0,1
0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.004444444444444435,0,1
0.0666666666666666,0.1,-0.0303030303030303,0.06060606060606054,-0.03333333333333341,-0.002020202020202018,1,1
0.0333333333333333,0.1333333333333333,-0.088235294117647,0.02941176470588232,-0.1,-0.00294117647058823,1,1
0.0333333333333333,0.0666666666666666,-0.03125,0.03124999999999997,-0.0333333333333333,-0.0010416666666666656,1,1
0.0666666666666666,0.0333333333333333,0.032258064516129,0.06451612903225801,0.0333333333333333,0.0021505376344085974,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0666666666666666,-0.03125,0.03124999999999997,-0.0333333333333333,-0.0010416666666666656,1,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0011111111111111087,0,1
0.1666666666666666,0.0333333333333333,0.1290322580645161,0.16129032258064513,0.1333333333333333,0.02150537634408601,0,2
0.0666666666666666,0.0333333333333333,0.032258064516129,0.06451612903225801,0.0333333333333333,0.0021505376344085974,0,1
0.6333333333333333,0.4,0.1666666666666666,0.4523809523809524,0.23333333333333328,0.10555555555555551,0,2
0.6,0.5333333333333333,0.0434782608695652,0.391304347826087,0.06666666666666665,0.026086956521739122,0,1
0.5,0.2,0.25,0.4166666666666667,0.3,0.125,0,2
1.0333333333333334,0.4666666666666667,0.3863636363636364,0.7045454545454546,0.5666666666666668,0.39924242424242434,0,2
0.4,0.2333333333333333,0.1351351351351351,0.32432432432432434,0.1666666666666667,0.054054054054054036,0,2
0.5333333333333333,0.5333333333333333,0.0,0.3478260869565218,0.0,0.0,0,1
0.4666666666666667,0.6,-0.0833333333333333,0.29166666666666663,-0.1333333333333333,-0.038888888888888876,1,1
0.5,0.9,-0.2105263157894737,0.2631578947368421,-0.4,-0.10526315789473685,1,0
0.8,1.8333333333333333,-0.3647058823529411,0.28235294117647064,-1.0333333333333332,-0.29176470588235287,1,0
2.1666666666666665,4.1,-0.3790849673202614,0.42483660130718953,-1.9333333333333331,-0.821350762527233,1,0
